date_id,year,quarter,month,day
20230101,2023,Q1,1,1
20230102,2023,Q1,1,2
20230103,2023,Q1,1,3
20230104,2023,Q1,1,4
20230105,2023,Q1,1,5
20230106,2023,Q1,1,6
20230107,2023,Q1,1,7
20230108,2023,Q1,1,8
20230109,2023,Q1,1,9
20230110,2023,Q1,1,10
20230111,2023,Q1,1,11
20230112,2023,Q1,1,12
20230113,2023,Q1,1,13
20230114,2023,Q1,1,14
20230115,2023,Q1,1,15
20230116,2023,Q1,1,16
20230117,2023,Q1,1,17
20230118,2023,Q1,1,18
20230119,2023,Q1,1,19
20230120,2023,Q1,1,20
20230121,2023,Q1,1,21
20230122,2023,Q1,1,22
20230123,2023,Q1,1,23
20230124,2023,Q1,1,24
20230125,2023,Q1,1,25
20230126,2023,Q1,1,26
20230127,2023,Q1,1,27
20230128,2023,Q1,1,28
20230129,2023,Q1,1,29
20230130,2023,Q1,1,30
20230131,2023,Q1,1,31
20230201,2023,Q1,2,1
20230202,2023,Q1,2,2
20230203,2023,Q1,2,3
20230204,2023,Q1,2,4
20230205,2023,Q1,2,5
20230206,2023,Q1,2,6
20230207,2023,Q1,2,7
20230208,2023,Q1,2,8
20230209,2023,Q1,2,9
20230210,2023,Q1,2,10
20230211,2023,Q1,2,11
20230212,2023,Q1,2,12
20230213,2023,Q1,2,13
20230214,2023,Q1,2,14
20230215,2023,Q1,2,15
20230216,2023,Q1,2,16
20230217,2023,Q1,2,17
20230218,2023,Q1,2,18
20230219,2023,Q1,2,19
20230220,2023,Q1,2,20
20230221,2023,Q1,2,21
20230222,2023,Q1,2,22
20230223,2023,Q1,2,23
20230224,2023,Q1,2,24
20230225,2023,Q1,2,25
20230226,2023,Q1,2,26
20230227,2023,Q1,2,27
20230228,2023,Q1,2,28
20230301,2023,Q1,3,1
20230302,2023,Q1,3,2
20230303,2023,Q1,3,3
20230304,2023,Q1,3,4
20230305,2023,Q1,3,5
20230306,2023,Q1,3,6
20230307,2023,Q1,3,7
20230308,2023,Q1,3,8
20230309,2023,Q1,3,9
20230310,2023,Q1,3,10
20230311,2023,Q1,3,11
20230312,2023,Q1,3,12
20230313,2023,Q1,3,13
20230314,2023,Q1,3,14
20230315,2023,Q1,3,15
20230316,2023,Q1,3,16
20230317,2023,Q1,3,17
20230318,2023,Q1,3,18
20230319,2023,Q1,3,19
20230320,2023,Q1,3,20
20230321,2023,Q1,3,21
20230322,2023,Q1,3,22
20230323,2023,Q1,3,23
20230324,2023,Q1,3,24
20230325,2023,Q1,3,25
20230326,2023,Q1,3,26
20230327,2023,Q1,3,27
20230328,2023,Q1,3,28
20230329,2023,Q1,3,29
20230330,2023,Q1,3,30
20230331,2023,Q1,3,31
20230401,2023,Q2,4,1
20230402,2023,Q2,4,2
20230403,2023,Q2,4,3
20230404,2023,Q2,4,4
20230405,2023,Q2,4,5
20230406,2023,Q2,4,6
20230407,2023,Q2,4,7
20230408,2023,Q2,4,8
20230409,2023,Q2,4,9
20230410,2023,Q2,4,10
20230411,2023,Q2,4,11
20230412,2023,Q2,4,12
20230413,2023,Q2,4,13
20230414,2023,Q2,4,14
20230415,2023,Q2,4,15
20230416,2023,Q2,4,16
20230417,2023,Q2,4,17
20230418,2023,Q2,4,18
20230419,2023,Q2,4,19
20230420,2023,Q2,4,20
20230421,2023,Q2,4,21
20230422,2023,Q2,4,22
20230423,2023,Q2,4,23
20230424,2023,Q2,4,24
20230425,2023,Q2,4,25
20230426,2023,Q2,4,26
20230427,2023,Q2,4,27
20230428,2023,Q2,4,28
20230429,2023,Q2,4,29
20230430,2023,Q2,4,30
20230501,2023,Q2,5,1
20230502,2023,Q2,5,2
20230503,2023,Q2,5,3
20230504,2023,Q2,5,4
20230505,2023,Q2,5,5
20230506,2023,Q2,5,6
20230507,2023,Q2,5,7
20230508,2023,Q2,5,8
20230509,2023,Q2,5,9
20230510,2023,Q2,5,10
20230511,2023,Q2,5,11
20230512,2023,Q2,5,12
20230513,2023,Q2,5,13
20230514,2023,Q2,5,14
20230515,2023,Q2,5,15
20230516,2023,Q2,5,16
20230517,2023,Q2,5,17
20230518,2023,Q2,5,18
20230519,2023,Q2,5,19
20230520,2023,Q2,5,20
20230521,2023,Q2,5,21
20230522,2023,Q2,5,22
20230523,2023,Q2,5,23
20230524,2023,Q2,5,24
20230525,2023,Q2,5,25
20230526,2023,Q2,5,26
20230527,2023,Q2,5,27
20230528,2023,Q2,5,28
20230529,2023,Q2,5,29
20230530,2023,Q2,5,30
20230531,2023,Q2,5,31
20230601,2023,Q2,6,1
20230602,2023,Q2,6,2
20230603,2023,Q2,6,3
20230604,2023,Q2,6,4
20230605,2023,Q2,6,5
20230606,2023,Q2,6,6
20230607,2023,Q2,6,7
20230608,2023,Q2,6,8
20230609,2023,Q2,6,9
20230610,2023,Q2,6,10
20230611,2023,Q2,6,11
20230612,2023,Q2,6,12
20230613,2023,Q2,6,13
20230614,2023,Q2,6,14
20230615,2023,Q2,6,15
20230616,2023,Q2,6,16
20230617,2023,Q2,6,17
20230618,2023,Q2,6,18
20230619,2023,Q2,6,19
20230620,2023,Q2,6,20
20230621,2023,Q2,6,21
20230622,2023,Q2,6,22
20230623,2023,Q2,6,23
20230624,2023,Q2,6,24
20230625,2023,Q2,6,25
20230626,2023,Q2,6,26
20230627,2023,Q2,6,27
20230628,2023,Q2,6,28
20230629,2023,Q2,6,29
20230630,2023,Q2,6,30
20230701,2023,Q3,7,1
20230702,2023,Q3,7,2
20230703,2023,Q3,7,3
20230704,2023,Q3,7,4
20230705,2023,Q3,7,5
20230706,2023,Q3,7,6
20230707,2023,Q3,7,7
20230708,2023,Q3,7,8
20230709,2023,Q3,7,9
20230710,2023,Q3,7,10
20230711,2023,Q3,7,11
20230712,2023,Q3,7,12
20230713,2023,Q3,7,13
20230714,2023,Q3,7,14
20230715,2023,Q3,7,15
20230716,2023,Q3,7,16
20230717,2023,Q3,7,17
20230718,2023,Q3,7,18
20230719,2023,Q3,7,19
20230720,2023,Q3,7,20
20230721,2023,Q3,7,21
20230722,2023,Q3,7,22
20230723,2023,Q3,7,23
20230724,2023,Q3,7,24
20230725,2023,Q3,7,25
20230726,2023,Q3,7,26
20230727,2023,Q3,7,27
20230728,2023,Q3,7,28
20230729,2023,Q3,7,29
20230730,2023,Q3,7,30
20230731,2023,Q3,7,31
20230801,2023,Q3,8,1
20230802,2023,Q3,8,2
20230803,2023,Q3,8,3
20230804,2023,Q3,8,4
20230805,2023,Q3,8,5
20230806,2023,Q3,8,6
20230807,2023,Q3,8,7
20230808,2023,Q3,8,8
20230809,2023,Q3,8,9
20230810,2023,Q3,8,10
20230811,2023,Q3,8,11
20230812,2023,Q3,8,12
20230813,2023,Q3,8,13
20230814,2023,Q3,8,14
20230815,2023,Q3,8,15
20230816,2023,Q3,8,16
20230817,2023,Q3,8,17
20230818,2023,Q3,8,18
20230819,2023,Q3,8,19
20230820,2023,Q3,8,20
20230821,2023,Q3,8,21
20230822,2023,Q3,8,22
20230823,2023,Q3,8,23
20230824,2023,Q3,8,24
20230825,2023,Q3,8,25
20230826,2023,Q3,8,26
20230827,2023,Q3,8,27
20230828,2023,Q3,8,28
20230829,2023,Q3,8,29
20230830,2023,Q3,8,30
20230831,2023,Q3,8,31
20230901,2023,Q3,9,1
20230902,2023,Q3,9,2
20230903,2023,Q3,9,3
20230904,2023,Q3,9,4
20230905,2023,Q3,9,5
20230906,2023,Q3,9,6
20230907,2023,Q3,9,7
20230908,2023,Q3,9,8
20230909,2023,Q3,9,9
20230910,2023,Q3,9,10
20230911,2023,Q3,9,11
20230912,2023,Q3,9,12
20230913,2023,Q3,9,13
20230914,2023,Q3,9,14
20230915,2023,Q3,9,15
20230916,2023,Q3,9,16
20230917,2023,Q3,9,17
20230918,2023,Q3,9,18
20230919,2023,Q3,9,19
20230920,2023,Q3,9,20
20230921,2023,Q3,9,21
20230922,2023,Q3,9,22
20230923,2023,Q3,9,23
20230924,2023,Q3,9,24
20230925,2023,Q3,9,25
20230926,2023,Q3,9,26
20230927,2023,Q3,9,27
20230928,2023,Q3,9,28
20230929,2023,Q3,9,29
20230930,2023,Q3,9,30
20231001,2023,Q4,10,1
20231002,2023,Q4,10,2
20231003,2023,Q4,10,3
20231004,2023,Q4,10,4
20231005,2023,Q4,10,5
20231006,2023,Q4,10,6
20231007,2023,Q4,10,7
20231008,2023,Q4,10,8
20231009,2023,Q4,10,9
20231010,2023,Q4,10,10
20231011,2023,Q4,10,11
20231012,2023,Q4,10,12
20231013,2023,Q4,10,13
20231014,2023,Q4,10,14
20231015,2023,Q4,10,15
20231016,2023,Q4,10,16
20231017,2023,Q4,10,17
20231018,2023,Q4,10,18
20231019,2023,Q4,10,19
20231020,2023,Q4,10,20
20231021,2023,Q4,10,21
20231022,2023,Q4,10,22
20231023,2023,Q4,10,23
20231024,2023,Q4,10,24
20231025,2023,Q4,10,25
20231026,2023,Q4,10,26
20231027,2023,Q4,10,27
20231028,2023,Q4,10,28
20231029,2023,Q4,10,29
20231030,2023,Q4,10,30
20231031,2023,Q4,10,31
20231101,2023,Q4,11,1
20231102,2023,Q4,11,2
20231103,2023,Q4,11,3
20231104,2023,Q4,11,4
20231105,2023,Q4,11,5
20231106,2023,Q4,11,6
20231107,2023,Q4,11,7
20231108,2023,Q4,11,8
20231109,2023,Q4,11,9
20231110,2023,Q4,11,10
20231111,2023,Q4,11,11
20231112,2023,Q4,11,12
20231113,2023,Q4,11,13
20231114,2023,Q4,11,14
20231115,2023,Q4,11,15
20231116,2023,Q4,11,16
20231117,2023,Q4,11,17
20231118,2023,Q4,11,18
20231119,2023,Q4,11,19
20231120,2023,Q4,11,20
20231121,2023,Q4,11,21
20231122,2023,Q4,11,22
20231123,2023,Q4,11,23
20231124,2023,Q4,11,24
20231125,2023,Q4,11,25
20231126,2023,Q4,11,26
20231127,2023,Q4,11,27
20231128,2023,Q4,11,28
20231129,2023,Q4,11,29
20231130,2023,Q4,11,30
20231201,2023,Q4,12,1
20231202,2023,Q4,12,2
20231203,2023,Q4,12,3
20231204,2023,Q4,12,4
20231205,2023,Q4,12,5
20231206,2023,Q4,12,6
20231207,2023,Q4,12,7
20231208,2023,Q4,12,8
20231209,2023,Q4,12,9
20231210,2023,Q4,12,10
20231211,2023,Q4,12,11
20231212,2023,Q4,12,12
20231213,2023,Q4,12,13
20231214,2023,Q4,12,14
20231215,2023,Q4,12,15
20231216,2023,Q4,12,16
20231217,2023,Q4,12,17
20231218,2023,Q4,12,18
20231219,2023,Q4,12,19
20231220,2023,Q4,12,20
20231221,2023,Q4,12,21
20231222,2023,Q4,12,22
20231223,2023,Q4,12,23
20231224,2023,Q4,12,24
20231225,2023,Q4,12,25
20231226,2023,Q4,12,26
20231227,2023,Q4,12,27
20231228,2023,Q4,12,28
20231229,2023,Q4,12,29
20231230,2023,Q4,12,30
20231231,2023,Q4,12,31
20240101,2024,Q1,1,1
20240102,2024,Q1,1,2
20240103,2024,Q1,1,3
20240104,2024,Q1,1,4
20240105,2024,Q1,1,5
20240106,2024,Q1,1,6
20240107,2024,Q1,1,7
20240108,2024,Q1,1,8
20240109,2024,Q1,1,9
20240110,2024,Q1,1,10
20240111,2024,Q1,1,11
20240112,2024,Q1,1,12
20240113,2024,Q1,1,13
20240114,2024,Q1,1,14
20240115,2024,Q1,1,15
20240116,2024,Q1,1,16
20240117,2024,Q1,1,17
20240118,2024,Q1,1,18
20240119,2024,Q1,1,19
20240120,2024,Q1,1,20
20240121,2024,Q1,1,21
20240122,2024,Q1,1,22
20240123,2024,Q1,1,23
20240124,2024,Q1,1,24
20240125,2024,Q1,1,25
20240126,2024,Q1,1,26
20240127,2024,Q1,1,27
20240128,2024,Q1,1,28
20240129,2024,Q1,1,29
20240130,2024,Q1,1,30
20240131,2024,Q1,1,31
20240201,2024,Q1,2,1
20240202,2024,Q1,2,2
20240203,2024,Q1,2,3
20240204,2024,Q1,2,4
20240205,2024,Q1,2,5
20240206,2024,Q1,2,6
20240207,2024,Q1,2,7
20240208,2024,Q1,2,8
20240209,2024,Q1,2,9
20240210,2024,Q1,2,10
20240211,2024,Q1,2,11
20240212,2024,Q1,2,12
20240213,2024,Q1,2,13
20240214,2024,Q1,2,14
20240215,2024,Q1,2,15
20240216,2024,Q1,2,16
20240217,2024,Q1,2,17
20240218,2024,Q1,2,18
20240219,2024,Q1,2,19
20240220,2024,Q1,2,20
20240221,2024,Q1,2,21
20240222,2024,Q1,2,22
20240223,2024,Q1,2,23
20240224,2024,Q1,2,24
20240225,2024,Q1,2,25
20240226,2024,Q1,2,26
20240227,2024,Q1,2,27
20240228,2024,Q1,2,28
20240229,2024,Q1,2,29
20240301,2024,Q1,3,1
20240302,2024,Q1,3,2
20240303,2024,Q1,3,3
20240304,2024,Q1,3,4
20240305,2024,Q1,3,5
20240306,2024,Q1,3,6
20240307,2024,Q1,3,7
20240308,2024,Q1,3,8
20240309,2024,Q1,3,9
20240310,2024,Q1,3,10
20240311,2024,Q1,3,11
20240312,2024,Q1,3,12
20240313,2024,Q1,3,13
20240314,2024,Q1,3,14
20240315,2024,Q1,3,15
20240316,2024,Q1,3,16
20240317,2024,Q1,3,17
20240318,2024,Q1,3,18
20240319,2024,Q1,3,19
20240320,2024,Q1,3,20
20240321,2024,Q1,3,21
20240322,2024,Q1,3,22
20240323,2024,Q1,3,23
20240324,2024,Q1,3,24
20240325,2024,Q1,3,25
20240326,2024,Q1,3,26
20240327,2024,Q1,3,27
20240328,2024,Q1,3,28
20240329,2024,Q1,3,29
20240330,2024,Q1,3,30
20240331,2024,Q1,3,31
20240401,2024,Q2,4,1
20240402,2024,Q2,4,2
20240403,2024,Q2,4,3
20240404,2024,Q2,4,4
20240405,2024,Q2,4,5
20240406,2024,Q2,4,6
20240407,2024,Q2,4,7
20240408,2024,Q2,4,8
20240409,2024,Q2,4,9
20240410,2024,Q2,4,10
20240411,2024,Q2,4,11
20240412,2024,Q2,4,12
20240413,2024,Q2,4,13
20240414,2024,Q2,4,14
20240415,2024,Q2,4,15
20240416,2024,Q2,4,16
20240417,2024,Q2,4,17
20240418,2024,Q2,4,18
20240419,2024,Q2,4,19
20240420,2024,Q2,4,20
20240421,2024,Q2,4,21
20240422,2024,Q2,4,22
20240423,2024,Q2,4,23
20240424,2024,Q2,4,24
20240425,2024,Q2,4,25
20240426,2024,Q2,4,26
20240427,2024,Q2,4,27
20240428,2024,Q2,4,28
20240429,2024,Q2,4,29
20240430,2024,Q2,4,30
20240501,2024,Q2,5,1
20240502,2024,Q2,5,2
20240503,2024,Q2,5,3
20240504,2024,Q2,5,4
20240505,2024,Q2,5,5
20240506,2024,Q2,5,6
20240507,2024,Q2,5,7
20240508,2024,Q2,5,8
20240509,2024,Q2,5,9
20240510,2024,Q2,5,10
20240511,2024,Q2,5,11
20240512,2024,Q2,5,12
20240513,2024,Q2,5,13
20240514,2024,Q2,5,14
20240515,2024,Q2,5,15
20240516,2024,Q2,5,16
20240517,2024,Q2,5,17
20240518,2024,Q2,5,18
20240519,2024,Q2,5,19
20240520,2024,Q2,5,20
20240521,2024,Q2,5,21
20240522,2024,Q2,5,22
20240523,2024,Q2,5,23
20240524,2024,Q2,5,24
20240525,2024,Q2,5,25
20240526,2024,Q2,5,26
20240527,2024,Q2,5,27
20240528,2024,Q2,5,28
20240529,2024,Q2,5,29
20240530,2024,Q2,5,30
20240531,2024,Q2,5,31
20240601,2024,Q2,6,1
20240602,2024,Q2,6,2
20240603,2024,Q2,6,3
20240604,2024,Q2,6,4
20240605,2024,Q2,6,5
20240606,2024,Q2,6,6
20240607,2024,Q2,6,7
20240608,2024,Q2,6,8
20240609,2024,Q2,6,9
20240610,2024,Q2,6,10
20240611,2024,Q2,6,11
20240612,2024,Q2,6,12
20240613,2024,Q2,6,13
20240614,2024,Q2,6,14
20240615,2024,Q2,6,15
20240616,2024,Q2,6,16
20240617,2024,Q2,6,17
20240618,2024,Q2,6,18
20240619,2024,Q2,6,19
20240620,2024,Q2,6,20
20240621,2024,Q2,6,21
20240622,2024,Q2,6,22
20240623,2024,Q2,6,23
20240624,2024,Q2,6,24
20240625,2024,Q2,6,25
20240626,2024,Q2,6,26
20240627,2024,Q2,6,27
20240628,2024,Q2,6,28
20240629,2024,Q2,6,29
20240630,2024,Q2,6,30
20240701,2024,Q3,7,1
20240702,2024,Q3,7,2
20240703,2024,Q3,7,3
20240704,2024,Q3,7,4
20240705,2024,Q3,7,5
20240706,2024,Q3,7,6
20240707,2024,Q3,7,7
20240708,2024,Q3,7,8
20240709,2024,Q3,7,9
20240710,2024,Q3,7,10
20240711,2024,Q3,7,11
20240712,2024,Q3,7,12
20240713,2024,Q3,7,13
20240714,2024,Q3,7,14
20240715,2024,Q3,7,15
20240716,2024,Q3,7,16
20240717,2024,Q3,7,17
20240718,2024,Q3,7,18
20240719,2024,Q3,7,19
20240720,2024,Q3,7,20
20240721,2024,Q3,7,21
20240722,2024,Q3,7,22
20240723,2024,Q3,7,23
20240724,2024,Q3,7,24
20240725,2024,Q3,7,25
20240726,2024,Q3,7,26
20240727,2024,Q3,7,27
20240728,2024,Q3,7,28
20240729,2024,Q3,7,29
20240730,2024,Q3,7,30
20240731,2024,Q3,7,31
20240801,2024,Q3,8,1
20240802,2024,Q3,8,2
20240803,2024,Q3,8,3
20240804,2024,Q3,8,4
20240805,2024,Q3,8,5
20240806,2024,Q3,8,6
20240807,2024,Q3,8,7
20240808,2024,Q3,8,8
20240809,2024,Q3,8,9
20240810,2024,Q3,8,10
20240811,2024,Q3,8,11
20240812,2024,Q3,8,12
20240813,2024,Q3,8,13
20240814,2024,Q3,8,14
20240815,2024,Q3,8,15
20240816,2024,Q3,8,16
